id,mst,ten_nnt,dia_chi,cqt
6,3200011445,Công Ty Cổ Phần Sơn Hải Thủy Điện Quảng Trị,"Thôn Ta Liêng, Xã Đa Krông, Huyện Đa Krông, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
7,3200256188,Công Ty Cổ Phần Kỹ Thuật Hạ Tầng Năng Lượng 711,"20 Nguyễn Tri Phương, Khu Phố 3, Phường 5, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
8,3200266732,Công Ty Cổ Phần Thủy Điện Đakrông,"Thôn Xa Lăng, Xã Đa Krông, Huyện Đa Krông, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
9,3200573934,Công Ty TNHH MTV Phong Điện Ubi Quảng Trị,"Phòng Tài chính - Kế toán, Tầng 6, tòa nhà VP số 9 Láng Hạ, Phường Thành Công, Quận Ba Đình,",Cục Thuế tỉnh Quảng Trị
10,3200608577,Công Ty Cổ Phần Năng Lượng Quảng Trị,"Số 08 đường Thân Nhân Trung, Phường Đông Lương, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
11,3100405534-003,Chi Nhánh Công Ty Cổ Phần Thủy Điện Trường Sơn Tại Quảng Trị,"Khu Công nghiệp Tây Bắc, Thành phố Đồng Hới,",Cục Thuế tỉnh Quảng Trị
12,3200622959,Công Ty Cổ Phần Thủy Điện Bản Mới,"Thôn Xa Lăng, Xã Đa Krông, Huyện Đa Krông, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
13,0107884601,Công Ty Cổ Phần Thủy Điện Yên Nhân,"Số nhà 25, Đường Thanh Tịnh, Khu phố 2, Phường 5, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
14,0400599162-003,Chi Nhánh Công Ty Cổ Phần Đầu Tư Điện Lực 3 Tại Quảng Trị,"Thôn Húc Nghì, Xã Húc Nghì, Huyện Đa Krông, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
15,3200643518,"Công Ty Cổ Phần Năng Lượng Gio Thành","Thôn Nhĩ Hạ, Xã Gio Hải, Huyện Gio Linh, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
16,3200011446,fad,"sa,fasdf,asdf",Cục Thuế tỉnh Quảng Trị
